NIVO78 STANDARD RULE ID REGISTRY — 1.40

Format: NUMBER | RULE ID | CLASS | PRIMARY CURSOR PROJECTION

001 | APP-A11Y-KEYBOARD | QA | 13-accessibility-i18n-performance.mdc
002 | APP-A11Y-MOTION | QA | 13-accessibility-i18n-performance.mdc
003 | APP-A11Y-NO-COLOR-ONLY | QA | 13-accessibility-i18n-performance.mdc
004 | APP-A11Y-SEMANTICS | QA | 13-accessibility-i18n-performance.mdc
005 | APP-A11Y-TEXT-SCALING | QA | 13-accessibility-i18n-performance.mdc
006 | APP-A11Y-WCAG-FLOOR | QA | 13-accessibility-i18n-performance.mdc
007 | APP-ARCH-CLEAN-ENGINE | STATIC | 04-input-architecture.mdc
008 | APP-ARCH-CODE-INTEGRITY | STATIC | 04-input-architecture.mdc
009 | APP-ARCH-NEUTRAL-PATHS | STATIC | 04-input-architecture.mdc
010 | APP-ARCH-NO-PLATFORM-APIS | STATIC | 04-input-architecture.mdc
011 | APP-ARCH-ONE-JOB | QA | 04-input-architecture.mdc
012 | APP-BACKUP-ATOMIC | GATE | 14-backup-upgrade-lifecycle.mdc
013 | APP-BACKUP-INTEGRITY | GATE | 14-backup-upgrade-lifecycle.mdc
014 | APP-BRAND-PHILOSOPHY | QA | 01-product-philosophy.mdc
015 | APP-BREADCRUMB-DEBUG-ONLY | QA | 19-operating-model-release-certification.mdc
016 | APP-DATA-BLOCK-SECRETS | STATIC | 19-operating-model-release-certification.mdc
017 | APP-DATA-DELETION | QA | 14-backup-upgrade-lifecycle.mdc
018 | APP-DATA-DOCUMENTS-ROOT | GATE | 14-backup-upgrade-lifecycle.mdc
019 | APP-DATA-EXPORT-TRUTH | QA | 14-backup-upgrade-lifecycle.mdc
019 | APP-DATA-LIFECYCLE | QA | 14-backup-upgrade-lifecycle.mdc
020 | APP-DATA-NO-TELEMETRY | GATE | 19-operating-model-release-certification.mdc
021 | APP-DATA-OPEN-EXPORT | QA | 19-operating-model-release-certification.mdc
022 | APP-DATA-PORTABILITY | QA | 19-operating-model-release-certification.mdc
023 | APP-DATA-SCHEMA-MIGRATION | QA | 19-operating-model-release-certification.mdc
024 | APP-DATA-TEMPORARY | GATE | 14-backup-upgrade-lifecycle.mdc
025 | APP-DEPENDENCY-INVENTORY | QA | 12-release-supply-chain.mdc
026 | APP-DEPENDENCY-LICENSE | GATE | 12-release-supply-chain.mdc
027 | APP-DEPENDENCY-VULNERABILITY | GATE | 12-release-supply-chain.mdc
028 | APP-DESKTOP-MODERN-STYLE | QA | 03-family-identity.mdc
029 | APP-FEEDBACK-BUG-NARRATIVE | QA | 06-output-support.mdc
030 | APP-FEEDBACK-DIAGNOSTICS | QA | 06-output-support.mdc
031 | APP-FEEDBACK-ROUTING | QA | 06-output-support.mdc
032 | APP-FEEDBACK-TYPES | QA | 06-output-support.mdc
033 | APP-I18N-DATE-NUMBER | QA | 13-accessibility-i18n-performance.mdc
034 | APP-I18N-NO-HARDCODED-UI | STATIC | 13-accessibility-i18n-performance.mdc
035 | APP-I18N-RTL-READY | QA | 13-accessibility-i18n-performance.mdc
036 | APP-I18N-TEXT-EXPANSION | QA | 13-accessibility-i18n-performance.mdc
037 | APP-INPUT-COMMIT | QA | 04-input-architecture.mdc
038 | APP-INPUT-FLUSH-BEFORE-PERSIST | QA | 04-input-architecture.mdc
039 | APP-INPUT-FOCUS-EDIT-ONLY | QA | 04-input-architecture.mdc
040 | APP-INPUT-FORMAT-ON-COMMIT | QA | 04-input-architecture.mdc
041 | APP-LEAVE-DIRTY-PROMPT | QA | 04-input-architecture.mdc
042 | APP-LEGAL-GATE | QA | 07-overrides-legal.mdc
043 | APP-MOBILE-PHONE-INPUT | QA | 02-ui-input-save.mdc
044 | APP-OVERRIDE-CLEANUP | QA | 19-operating-model-release-certification.mdc
045 | APP-OVERRIDE-OWNER | QA | 19-operating-model-release-certification.mdc
046 | APP-OVERRIDE-REVIEW | QA | 19-operating-model-release-certification.mdc
047 | APP-OVERRIDE-RISK | QA | 19-operating-model-release-certification.mdc
048 | APP-PERF-BUDGET | QA | 13-accessibility-i18n-performance.mdc
049 | APP-PERF-LARGE-DATA | QA | 13-accessibility-i18n-performance.mdc
050 | APP-PERF-NO-BLOCKING-UI | STATIC | 13-accessibility-i18n-performance.mdc
051 | APP-PRIVACY-ANALYTICS-CONSENT | QA | 15-privacy-incident-override.mdc
052 | APP-PRIVACY-NO-AD-ID | GATE | 15-privacy-incident-override.mdc
053 | APP-PRIVACY-THIRD-PARTY-SDK | GATE | 15-privacy-incident-override.mdc
054 | APP-RELEASE-ARTIFACT-INTEGRITY | GATE | 12-release-supply-chain.mdc
055 | APP-RELEASE-DEBUG-CLEAN | GATE | 12-release-supply-chain.mdc
056 | APP-RELEASE-DEFINITION-OF-DONE | GATE | 12-release-supply-chain.mdc
057 | APP-RELEASE-SIGNING | GATE | 12-release-supply-chain.mdc
058 | APP-RELEASE-VERSION-CONSISTENCY | GATE | 12-release-supply-chain.mdc
059 | APP-RESTORE-NO-DATA-LOSS | GATE | 14-backup-upgrade-lifecycle.mdc
060 | APP-RESTORE-RECOVERY | QA | 14-backup-upgrade-lifecycle.mdc
061 | APP-RESTORE-VALIDATE-FIRST | GATE | 14-backup-upgrade-lifecycle.mdc
062 | APP-SAVE-BAR | QA | 04-input-architecture.mdc
063 | APP-SAVE-VERIFIED-INACTIVE | QA | 04-input-architecture.mdc
064 | APP-SEC-CRITICAL-FIX | QA | 10-security.mdc
065 | APP-SEC-CRYPTOGRAPHY | GATE | 10-security.mdc
066 | APP-SEC-EXTERNAL-CONTENT | GATE | 10-security.mdc
067 | APP-SEC-FAIL-CLOSED | GATE | 10-security.mdc
068 | APP-SEC-IMPORT-VALIDATION | GATE | 10-security.mdc
069 | APP-SEC-KEY-DERIVATION | GATE | 10-security.mdc
070 | APP-SEC-PATH-SAFETY | GATE | 10-security.mdc
071 | APP-SEC-RANDOMNESS | GATE | 10-security.mdc
072 | APP-SEC-RELEASE-DEBUG | GATE | 10-security.mdc
073 | APP-SEC-RELEASE-RECALL | QA | 10-security.mdc
074 | APP-SEC-SECRET-LIFETIME | QA | 10-security.mdc
075 | APP-SEC-THREAT-MODEL | QA | 10-security.mdc
076 | APP-SEC-VULNERABILITY-RESPONSE | QA | 10-security.mdc
077 | APP-SUPPLY-CHAIN-SOURCE | QA | 12-release-supply-chain.mdc
078 | APP-SUPPORT-MENU-ORDER | QA | 06-output-support.mdc
079 | APP-TEST-FRESH-UPGRADE | QA | 11-testing-quality.mdc
080 | APP-TEST-INTEGRATION | GATE | 11-testing-quality.mdc
081 | APP-TEST-OFFLINE | GATE | 11-testing-quality.mdc
082 | APP-TEST-REAL-DATA-SAFETY | QA | 11-testing-quality.mdc
083 | APP-TEST-RECOVERY | GATE | 11-testing-quality.mdc
084 | APP-TEST-REGRESSION | GATE | 11-testing-quality.mdc
